Name,Year,Brand,Mileage,Price,Reviews,Rating,BrandNum
2019 Chevrolet Silverado 2500 High Country,2019,Chevrolet,1863,66939,365,4.8,6
2016 GMC Sierra 1500 Denali,2016,GMC,154367,31400,72,4.1,4
2016 Toyota Tundra TRD Pro,2016,Toyota,90102,34998,68,4.8,3
2017 Toyota Tundra SR5,2017,Toyota,72959,34490,199,4.5,3
2020 RAM 1500 Laramie,2020,RAM,19603,35900,37,4.3,1
2020 Ford F-150 XLT,2020,Ford,12733,44990,373,4.7,0
2019 RAM 1500 Classic SLT,2019,RAM,38564,33998,419,4.9,1
2019 Chevrolet Silverado 1500 RST,2019,Chevrolet,33451,43997,63,4.8,6
2008 Chevrolet Silverado 1500 LTZ Crew Cab,2008,Chevrolet,187531,14580,59,4.8,6
2019 Chevrolet Silverado 1500 LT,2019,Chevrolet,15103,39990,711,4.9,6
2017 RAM 1500 Sport,2017,RAM,50365,36997,20,4.8,1
2019 RAM 1500 Big Horn,2019,RAM,28997,34998,410,3.9,1
2016 Toyota Tundra,2016,Toyota,129774,28948,410,3.9,3
2017 Ford F-250 Lariat,2017,Ford,77771,54870,16,3.3,0
2017 Chevrolet Silverado 1500 LT,2017,Chevrolet,38822,35298,702,4.8,6
2017 Ford F-150 XLT,2017,Ford,41495,31600,2546,4.9,0
2018 Chevrolet Silverado 1500 LT,2018,Chevrolet,11970,39952,190,4.8,6
2017 Ford F-250 XLT,2017,Ford,98688,39887,11,4.8,0
2019 RAM 1500 Tradesman,2019,RAM,4528,34920,7,3.3,1
2015 Toyota Tundra SR5,2015,Toyota,207381,24157,490,4.9,3
2019 RAM 2500 Big Horn,2019,RAM,41250,45676,1586,4.6,1
2018 Chevrolet Silverado 1500 LT,2018,Chevrolet,31138,39999,707,4.8,6
2018 Chevrolet Silverado 1500 1LT,2018,Chevrolet,38826,40998,929,4.7,6
2017 RAM 1500 Big Horn,2017,RAM,96556,27495,670,4.2,1
2018 RAM 2500 Power Wagon,2018,RAM,30295,45380,8,1.9,1
2020 GMC Sierra 1500 AT4,2020,GMC,6485,59850,2252,4.6,4
2019 Toyota Tundra Platinum,2019,Toyota,8717,51480,4,4.5,3
2017 Chevrolet Silverado 1500 LTZ,2017,Chevrolet,81036,36995,2252,4.6,6
2018 Chevrolet Silverado 1500 1LZ,2018,Chevrolet,169586,31995,30,2.3,6
2017 Chevrolet Silverado 1500 High Country,2017,Chevrolet,113072,33988,263,3.6,6
2017 GMC Sierra 1500 SLT,2017,GMC,28453,36790,36,3.9,4
2017 RAM 1500 SLT,2017,RAM,95818,20995,528,4.4,1
2018 Toyota Tundra SR5,2018,Toyota,30457,39925,214,4.7,3
2016 Chevrolet Silverado 1500 1LT,2016,Chevrolet,60699,28999,64,3.7,6
2015 GMC Sierra 1500 SLT,2015,GMC,99968,31200,40,4.9,4
2018 Chevrolet Silverado 1500 1LT,2018,Chevrolet,70279,30999,618,4.7,6
2019 Chevrolet Silverado 1500 High Country,2019,Chevrolet,16270,52197,64,4.1,6
2019 Chevrolet Silverado 1500 LTZ,2019,Chevrolet,49693,43995,282,3.3,6
2019 Toyota Tundra TRD,2019,Toyota,17349,43540,435,4.2,3
2019 Chevrolet Silverado 1500 LT,2019,Chevrolet,28788,39311,1745,4.7,6
2015 Chevrolet Silverado 1500 LT,2015,Chevrolet,52027,31989,658,4.9,6
2005 Dodge Ram 2500 ST Quad Cab,2005,Dodge,192166,6995,40,3.0,5
2020 RAM 1500 Classic SLT,2020,RAM,22306,33944,837,4.6,1
2019 Ford F-150 XLT,2019,Ford,38786,44980,161,4.7,0
2020 RAM 2500 Big Horn,2020,RAM,18750,48000,1247,4.7,1
2016 Chevrolet Silverado 1500 LTZ,2016,Chevrolet,64712,36495,1175,5.0,6
2018 Chevrolet Silverado 1500 Custom,2018,Chevrolet,31729,33878,98,4.9,6
2008 Toyota Tundra Limited,2008,Toyota,165531,17488,197,4.3,3
2017 Toyota Tundra Limited,2017,Toyota,31361,42975,59,3.8,3
2018 Ford F-150 Lariat,2018,Ford,35513,42572,1366,4.6,0
2017 Ford F-150 XLT,2017,Ford,45921,33739,1366,4.6,0
2018 Ford F-150 XL,2018,Ford,72922,31500,1562,4.0,0
2017 RAM 1500 Big Horn,2017,RAM,44126,32436,210,4.2,1
2014 Chevrolet Silverado 1500 LT,2014,Chevrolet,89901,26995,0,0.0,6
2017 RAM 1500 Express,2017,RAM,55386,27995,56,4.8,1
2019 Ford F-150 XLT,2019,Ford,44301,31998,47,4.1,0
2017 GMC Sierra 1500 SLE,2017,GMC,46720,37902,1087,4.7,4
2019 Chevrolet Silverado 1500 LT Trail Boss,2019,Chevrolet,15512,49988,923,4.8,6
2008 GMC Sierra 2500 SLT,2008,GMC,191341,22842,54,4.7,4
2017 Chevrolet Silverado 2500 High Country,2017,Chevrolet,99938,51220,54,4.7,6
2019 Ford F-250,2019,Ford,77493,49900,41,4.6,0
2018 Chevrolet Silverado 1500 LT,2018,Chevrolet,58716,34800,332,4.8,6
2018 Ford F-150 Lariat,2018,Ford,47680,35971,114,4.6,0
2018 GMC Sierra 1500 SLT,2018,GMC,101601,33995,1,5.0,4
2019 Ford F-350 XL,2019,Ford,90586,47900,0,0.0,0
2018 Chevrolet Silverado 1500 LT,2018,Chevrolet,73717,33999,134,4.8,6
2020 Chevrolet Silverado 1500 LT,2020,Chevrolet,11451,38500,3327,3.6,6
2019 RAM 2500 Power Wagon,2019,RAM,12591,59999,947,4.8,1
2018 GMC Sierra 1500 SLT,2018,GMC,38462,44994,18,4.1,4
2018 Nissan Titan SL,2018,Nissan,44980,34998,12,4.4,2
2018 GMC Sierra 1500 SLT,2018,GMC,4129,42297,21,3.7,4
2018 RAM 1500 Big Horn,2018,RAM,46902,31590,1806,4.3,1
2007 Ford F-150 XLT SuperCrew,2007,Ford,125223,10488,1600,4.7,0
2017 Ford F-150 XLT,2017,Ford,60291,31101,6,4.3,0
2019 RAM 1500 Classic Big Horn,2019,RAM,17262,33790,0,0.0,1
2015 GMC Sierra 1500 SLT,2015,GMC,96064,31840,791,5.0,4
2018 GMC Sierra 1500 SLT,2018,GMC,19041,45981,278,4.7,4
2018 Toyota Tundra,2018,Toyota,73238,41000,291,4.8,3
2017 Ford F-150 Lariat Super Duty,2017,Ford,45174,40050,291,4.8,0
2018 Chevrolet Silverado 2500 WT,2018,Chevrolet,85644,35600,49,4.8,6
2010 Ford F-150 SuperCrew,2010,Ford,182581,10906,232,2.3,0
2020 Chevrolet Silverado 2500 LTZ,2020,Chevrolet,1447,61900,114,4.7,6
2017 RAM 2500 Tradesman,2017,RAM,127171,28970,10,5.0,1
2012 Chevrolet Silverado 2500 LTZ,2012,Chevrolet,54811,42125,12,5.0,6
2019 Ford F-250 Lariat,2019,Ford,54084,59987,27,4.5,0
2015 Toyota Tundra SR5,2015,Toyota,138950,26900,2,5.0,3
2019 RAM 1500 Classic SLT,2019,RAM,37350,33922,31,4.5,1
2018 Ford F-150 XLT,2018,Ford,39912,36950,21,4.6,0
2019 RAM 1500 Limited,2019,RAM,77122,49988,12,5.0,1
2020 RAM 1500 Big Horn,2020,RAM,9526,38000,13,4.7,1
2019 Toyota Tundra SR5,2019,Toyota,18125,43990,3983,4.3,3
2017 Chevrolet Silverado 1500 LT,2017,Chevrolet,34736,41990,13,3.7,6
2010 Ford F-250 XL,2010,Ford,96694,18987,72,4.5,0
2017 RAM 1500 Rebel,2017,RAM,83287,34775,133,4.8,1
2013 Chevrolet Silverado 1500 LT,2013,Chevrolet,89185,22416,11,5.0,6
2016 RAM 1500 Lone Star,2016,RAM,39158,27480,3327,3.6,1
